pc_index,pc_name,pc_coefficient,gene_name,gene_loading,risk_weighted_loading,rank_within_pc
2,EXPR_PC02,-0.20759115807334066,EXPR_CTNND2,0.2009226257917661,-0.041709760571249185,9
2,EXPR_PC02,-0.20759115807334066,EXPR_CACNG4,0.195093653633178,-0.04049971749047063,10
3,EXPR_PC03,-0.00012761685939017192,EXPR_A1CF,0.3354438133162604,-4.280828595728428e-05,1
3,EXPR_PC03,-0.00012761685939017192,EXPR_FABP7,-0.29323485393935694,3.742171112347652e-05,2
3,EXPR_PC03,-0.00012761685939017192,EXPR_ADCY2,-0.23997490946077513,3.0624844277824976e-05,3
3,EXPR_PC03,-0.00012761685939017192,EXPR_AP1M2,0.21724051859105747,-2.772355271488301e-05,4
3,EXPR_PC03,-0.00012761685939017192,EXPR_BMP7,-0.2115204748799686,2.6993578700899345e-05,5
3,EXPR_PC03,-0.00012761685939017192,EXPR_PGC,0.20587344744409575,-2.6272922794643116e-05,6
3,EXPR_PC03,-0.00012761685939017192,EXPR_KRT23,0.19520144619232277,-2.4910995511483866e-05,7
3,EXPR_PC03,-0.00012761685939017192,EXPR_TTYH1,-0.19305744843875772,2.463738525163431e-05,8
3,EXPR_PC03,-0.00012761685939017192,EXPR_PCSK2,-0.18816071159854308,2.4012479074825962e-05,9
3,EXPR_PC03,-0.00012761685939017192,EXPR_HOMG2,0.183365539189046,-2.340053423169154e-05,10
4,EXPR_PC04,-0.17136602080637148,EXPR_ETNPPL,0.30862293819932085,-0.052887484848788316,1
4,EXPR_PC04,-0.17136602080637148,EXPR_ABCC2,0.30781050301129165,-0.05274826106345267,2
4,EXPR_PC04,-0.17136602080637148,EXPR_MAGEC1,0.27346848658123973,-0.04686320636136765,3
4,EXPR_PC04,-0.17136602080637148,EXPR_MAGEA12,0.27319012100347473,-0.04681550395997659,4
4,EXPR_PC04,-0.17136602080637148,EXPR_XAGE1D,0.26888965344015764,-0.04607854994604407,5
4,EXPR_PC04,-0.17136602080637148,EXPR_CELA3A,-0.2313353752687364,0.039643022731552034,6
4,EXPR_PC04,-0.17136602080637148,EXPR_AGR2,-0.19401000315743147,0.0332467222377206,7
4,EXPR_PC04,-0.17136602080637148,EXPR_SERPINA3,0.19384695593154322,-0.03321878148341661,8
4,EXPR_PC04,-0.17136602080637148,EXPR_NEU4,0.1869343607605899,-0.032034197555525,9
